,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,shuffle,device,trainset,network
0,1,1,1.0392513086398443,0.5994166666666667,26.770857334136963,32.274853229522705,0.01,1000,0,True,cpu,not_normal,no_batch_norm_net
1,1,2,0.5490681573748588,0.7844666666666666,26.6830415725708,59.38989734649658,0.01,1000,0,True,cpu,not_normal,no_batch_norm_net
2,1,3,0.4660962025324504,0.827,27.326406717300415,86.96929168701172,0.01,1000,0,True,cpu,not_normal,no_batch_norm_net
3,1,4,0.4154937694470088,0.8472666666666666,23.680050134658813,110.85435366630554,0.01,1000,0,True,cpu,not_normal,no_batch_norm_net
4,1,5,0.3815238167842229,0.86015,24.74621844291687,135.9745683670044,0.01,1000,0,True,cpu,not_normal,no_batch_norm_net
5,2,1,0.5673564881086349,0.7947,30.690202236175537,32.36769390106201,0.01,1000,0,True,cpu,not_normal,batch_norm_net
6,2,2,0.3409674972295761,0.8720833333333333,25.816479206085205,58.55917406082153,0.01,1000,0,True,cpu,not_normal,batch_norm_net
7,2,3,0.30455504208803175,0.88475,20.76114797592163,79.63432025909424,0.01,1000,0,True,cpu,not_normal,batch_norm_net
8,2,4,0.2838316182295481,0.8938166666666667,21.90954613685608,101.81186819076538,0.01,1000,0,True,cpu,not_normal,batch_norm_net
9,2,5,0.2696756509443124,0.8976,25.283419132232666,127.33529138565063,0.01,1000,0,True,cpu,not_normal,batch_norm_net
10,3,1,0.733413148423036,0.8089166666666666,30.311115741729736,32.77709436416626,0.01,1000,0,True,cpu,normal,no_batch_norm_net
11,3,2,0.3816449984908104,0.85995,24.744998693466187,57.70009136199951,0.01,1000,0,True,cpu,normal,no_batch_norm_net
12,3,3,0.3547378127773603,0.86855,30.46888566017151,88.41497874259949,0.01,1000,0,True,cpu,normal,no_batch_norm_net
13,3,4,0.33881565431753796,0.8757666666666667,27.339219570159912,115.9502022266388,0.01,1000,0,True,cpu,normal,no_batch_norm_net
14,3,5,0.32606956859429675,0.8782333333333333,29.55773115158081,145.6998999118805,0.01,1000,0,True,cpu,normal,no_batch_norm_net
15,4,1,0.3088460274040699,0.8842666666666666,30.437222480773926,32.38521885871887,0.01,1000,0,True,cpu,normal,batch_norm_net
16,4,2,0.26174295966823896,0.9016333333333333,29.69101333618164,62.51421141624451,0.01,1000,0,True,cpu,normal,batch_norm_net
17,4,3,0.24876063813765845,0.90675,31.334943532943726,94.26483988761902,0.01,1000,0,True,cpu,normal,batch_norm_net
18,4,4,0.23287331983447074,0.91245,30.411423444747925,124.92826533317566,0.01,1000,0,True,cpu,normal,batch_norm_net
19,4,5,0.22596082240343093,0.9149166666666667,29.925764322280884,155.09602808952332,0.01,1000,0,True,cpu,normal,batch_norm_net
